"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","tp_cal","class","two_body","A1","A2","A3","DT","spkid","pdes","name","prefix","neo","pha","sats","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","producer","first_obs","last_obs","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"  177P/Barnard",24.3,0.9544,31.22,272.07,60.45,1.107,47.50,120,42903,0,1702,,,,2006-08-28.6,HTC,,,,,,1000909,177P,Barnard,P,Y,,0,,15.7,18.3,13.,5.,0.03,,,,,,,,,,,,,"JPL 29",2453849.5,53849,2006-04-24.0,J2000,358.96,0.008226,2453976.18,4.38e+04,0.31,121,0.35,1.32,3.4e-09,2.3e-07,9.0e-08,1.2e-05,7.4e-06,1.7e-05,1.1e-07,4.4e-07,1.2e-10,1.2e-05,6.1e-04,"Otto Matic",1889-06-24,2006-12-11,.82587,,,,
"  181P/Shoemaker-Levy 6",3.839,0.7073,16.98,37.68,333.80,1.124,6.55,7.52,8252,2,88,,,,2014-06-10.3,JFc,,-2.9e-09,-8.6e-11,,,1000136,181P,Shoemaker-Levy,P,Y,,0,,16.3,19.3,17.,5.,0.03,,,,,,,,,,,,,"JPL 16",2456908.5,56908,2014-09-08.0,J2000,11.75,0.131,2456818.83,2.75e+03,0.156,60.8,,2.52,3.6e-07,4.2e-06,9.6e-07,6.1e-05,1.1e-04,5.2e-04,8.4e-05,7.1e-06,2.1e-07,5.1e-04,4.5e-03,"Ryan S. Park",1991-11-11,2014-06-15,1.1117,4.0e-10,7.5e-13,,
"  182P/LONEOS",2.931,0.6663,16.91,75.10,51.43,0.978,4.88,5.02,3819,0,197,,,,2007-02-05.8,JFc,,,,,,1000380,182P,LONEOS,P,Y,,0,,20.8,,4.5,,,,,,,,,,,,,,,"JPL 63",2453241.5,53241,2004-08-24.0,J2000,184.06,0.1964,2454137.33,1.83e+03,0.109,42.6,1.01,2.85,3.7e-08,1.9e-08,1.1e-07,1.6e-05,2.4e-05,3.4e-05,5.3e-06,3.1e-08,1.9e-09,3.0e-05,1.8e-05,"Otto Matic",2001-10-26,2012-04-10,.68489,,,,
"  185P/Petriew",3.1,0.6988,14.00,214.10,181.94,0.934,5.27,5.46,4138,0,705,,,,2012-08-13.1,JFc,,,1.4e-10,,,1000349,185P,Petriew,P,Y,,0,,13.6,16.7,9.75,5.,0.03,,,,,,,,,,,,,"JPL K233/10",2457080.5,57080,2015-02-27.0,J2000,167.53,0.1806,2456152.63,1.99e+03,0.0599,23.3,0.179,2.75,1.0e-07,3.9e-08,3.2e-07,1.8e-05,7.8e-05,8.0e-05,5.4e-06,6.7e-08,3.4e-09,3.3e-05,3.8e-05,"Shantanu Naidu",2012-05-27,2023-09-25,.72369,,5.0e-13,,
"  189P/NEAT",2.918,0.5976,20.40,282.20,15.31,1.174,4.66,4.98,7330,0,1469,,,,2007-07-25.9,JFc,,-2.0e-10,-4.9e-11,,,1000400,189P,NEAT,P,Y,,0,,19.1,,4.5,,,,,,,,,,,,,,,"JPL 66",2454804.5,54804,2008-12-04.0,J2000,98.30,0.1978,2454307.44,1.82e+03,0.167,65,0.666,2.91,5.3e-08,2.2e-08,1.6e-07,1.2e-05,9.3e-06,3.4e-05,6.8e-06,3.5e-08,2.2e-09,3.9e-05,2.1e-05,"Otto Matic",2002-07-30,2022-08-24,.74615,5.3e-11,8.1e-14,,
"  197P/LINEAR",2.867,0.6299,25.56,66.40,188.75,1.061,4.67,4.86,7452,0,325,,,,2008-05-18.9,JFc,,-7.1e-11,1.7e-11,-9.8e-12,,1000441,197P,LINEAR,P,Y,,0,,18.2,20.0,5.75,5.,0.03,,,,,,,,,,,,,"JPL 49",2454004.5,54004,2006-09-26.0,J2000,238.00,0.203,2454605.50,1.77e+03,0.0508,19.8,0.452,2.85,9.3e-08,6.9e-08,2.8e-07,1.7e-05,5.0e-05,6.2e-05,8.9e-06,1.1e-07,7.3e-09,3.2e-05,6.4e-05,"Otto Matic",2003-05-23,2023-10-17,.92517,6.6e-11,6.7e-13,7.4e-11,
"  206P/Barnard-Boattini",3.234,0.6485,33.20,204.38,181.36,1.136,5.33,5.81,42448,2,284,,,,2008-10-24.0,JFc,,,,,,1000921,206P,Barnard-Boattini,P,Y,,0,,20.3,,10.,,,,,,,,,,,,,,,"JPL 14",2453922.5,53922,2006-07-06.0,J2000,217.44,0.1695,2454763.55,2.12e+03,0.141,54.9,0.122,2.61,4.7e-07,3.9e-06,2.2e-07,2.9e-05,1.2e-05,6.2e-05,2.4e-04,6.4e-06,3.0e-07,6.6e-05,3.8e-03,"Otto Matic",1892-10-16,2009-01-04,.79823,,,,
"  207P/NEAT",3.881,0.7579,10.15,200.68,271.09,0.940,6.82,7.65,8412,0,216,,,,2008-11-06.9,JFc,,,6.2e-12,,,1000339,207P,NEAT,P,Y,,0,,16.5,,11.,,,,,,,,,,,,,,,"JPL 77",2456142.5,56142,2012-08-03.0,J2000,175.94,0.1289,2454777.42,2.79e+03,0.146,57,0.814,2.45,2.4e-07,9.5e-08,9.6e-07,3.4e-05,7.6e-05,8.8e-05,1.1e-05,1.7e-07,4.7e-09,8.0e-05,1.0e-04,"Otto Matic",2000-10-07,2023-10-19,.66144,,4.3e-13,,
"  209P/LINEAR",2.937,0.6889,20.98,63.20,152.47,0.914,4.96,5.03,5743,0,2832,9,4,,2014-04-25.4,JFc,,,,,,1000487,209P,LINEAR,P,Y,,0,,18.1,,4.5,,,,,,,,,,,,,,,"JPL 141",2455993.5,55993,2012-03-07.0,J2000,207.36,0.1958,2456772.95,1.84e+03,0.0475,18.5,0.458,2.79,9.4e-09,1.7e-08,3.1e-08,3.4e-06,1.8e-06,5.6e-06,2.6e-07,2.9e-08,1.7e-09,6.7e-06,1.6e-05,"Otto Matic",2003-12-03,2019-08-24,.4352,,,,
"  210P/Christensen",3.176,0.8317,10.22,93.87,345.77,0.534,5.82,5.66,6256,0,715,,,,2008-12-19.9,JFc,,-2.1e-10,5.7e-11,-1.1e-10,,1000440,210P,Christensen,P,Y,,0,,14.9,17.8,10.,5.,0.03,,,,,,,,,,,,,"JPL 53",2455230.5,55230,2010-02-03.0,J2000,71.41,0.1742,2454820.48,2.07e+03,0.17,66.3,0.0178,2.49,3.3e-07,7.0e-08,1.1e-06,9.2e-06,1.3e-04,1.5e-04,4.6e-06,1.3e-07,5.7e-09,2.0e-05,6.8e-05,"Otto Matic",2003-05-26,2020-07-11,.81109,1.1e-10,2.6e-13,7.2e-11,
"  217P/LINEAR",3.944,0.6896,12.88,125.62,246.77,1.224,6.66,7.83,6117,0,3274,,,,2009-09-08.9,JFc,,1.6e-09,-1.2e-10,3.3e-12,22,1000345,217P,LINEAR,P,Y,,0,,14.0,,6.5,,,,,,,,,,,,,,,"JPL 133",2455423.5,55423,2010-08-15.0,J2000,42.78,0.1258,2455083.49,2.86e+03,0.308,120,0.655,2.55,6.7e-08,4.5e-08,2.6e-07,5.0e-06,1.9e-05,3.0e-05,2.1e-06,7.5e-08,2.1e-09,1.6e-05,4.9e-05,"Otto Matic",2001-06-21,2018-03-21,.59399,3.2e-11,1.3e-11,2.3e-11,1.91
"  222P/LINEAR",2.857,0.7268,5.15,7.13,345.43,0.781,4.93,4.83,5283,0,239,,,,2009-09-01.1,JFc,,9.0e-11,-4.4e-12,,,1000530,222P,LINEAR,P,Y,,0,,19.3,,11.,,,,,,,,,,,,,,,"JPL 37",2454620.5,54620,2008-06-03.0,J2000,267.12,0.204,2455075.67,1.76e+03,0.0628,24.4,0.509,2.83,8.8e-08,3.6e-08,2.6e-07,6.7e-06,1.3e-04,1.3e-04,2.3e-06,6.2e-08,3.9e-09,1.4e-05,3.3e-05,"Otto Matic",2004-12-07,2019-05-26,.79702,8.3e-11,3.0e-13,,
"  249P/LINEAR",2.77,0.8187,8.40,239.85,64.81,0.502,5.04,4.61,5205,0,884,,,,2015-11-26.7,JFc,,,,,,1002424,249P,LINEAR,P,Y,,0,,18.4,,4.5,,,,,,,,,,,,,,,"JPL 50",2456863.5,56863,2014-07-25.0,J2000,255.31,0.2138,2457353.29,1.68e+03,0.0482,18.8,0.746,2.71,2.7e-08,1.1e-08,7.6e-08,1.1e-05,4.3e-05,4.3e-05,3.2e-06,2.1e-08,1.3e-09,1.5e-05,1.0e-05,"Otto Matic",2006-10-19,2021-01-18,.51849,,,,
"  252P/LINEAR",3.047,0.6731,10.42,190.95,343.31,0.996,5.10,5.32,1972,3,122,,,,2016-03-15.2,JFc,,1.1e-08,-7.2e-09,,,1000298,252P,LINEAR,P,Y,,0,,16.4,,16.5,,,,,,,,,,,,,,,"JPL K212/2",2457552.5,57552,2016-06-13.0,J2000,16.63,0.1853,2457462.76,1.94e+03,0.0122,4.75,0.201,2.82,6.5e-07,6.1e-06,4.8e-07,1.3e-05,4.4e-05,6.3e-05,4.7e-05,1.0e-05,5.5e-07,4.6e-05,5.8e-03,"Davide Farnocchia",2016-04-05,2021-08-29,.5772,4.7e-10,2.8e-10,,
"  255P/Levy",3.025,0.6720,18.33,279.78,179.59,0.992,5.06,5.26,5484,0,503,,,,2006-10-07.3,JFc,,7.2e-09,-4.0e-09,,,1002422,255P,Levy,P,Y,,0,,11.5,15.1,38.,5.,0.03,,,,,,,,,,,,,"JPL 40",2454456.5,54456,2007-12-22.0,J2000,82.56,0.1874,2454015.88,1.92e+03,0.00881,3.43,0.154,2.79,2.1e-07,1.6e-07,6.9e-07,3.3e-05,3.4e-05,8.4e-05,1.5e-05,2.6e-07,1.5e-08,1.1e-04,1.5e-04,"Otto Matic",2006-10-02,2021-10-07,.91265,3.0e-10,7.4e-12,,
"  262P/McNaught-Russell",6.935,0.8154,29.08,218.01,171.17,1.280,12.59,18.3,6706,0,1339,,,,2012-12-04.4,JFC,,,,,,1000154,262P,McNaught-Russell,P,Y,,0,,14.7,,6.5,,,,,,,,,,,,,,,"JPL 40",2455919.5,55919,2011-12-24.0,J2000,341.30,0.05396,2456265.96,6.67e+03,0.291,113,1.51,1.92,3.5e-08,6.5e-08,2.5e-07,1.1e-05,2.0e-05,2.8e-05,2.0e-06,1.2e-07,7.6e-10,3.5e-05,9.4e-05,"Otto Matic",1994-12-12,2013-04-22,.59203,,,,
"  263P/Gibbs",3.061,0.5877,11.54,105.81,34.59,1.262,4.86,5.35,6084,0,751,,,,2017-09-29.8,JFc,,,,,,1002435,263P,Gibbs,P,Y,,0,,18.6,,4.5,,,,,,,,,,,,,,,"JPL 49",2458374.5,58374,2018-09-13.0,J2000,64.08,0.1841,2458026.38,1.96e+03,0.297,116,0.477,2.92,5.2e-08,2.9e-08,1.6e-07,6.3e-06,3.4e-05,4.7e-05,9.5e-06,4.6e-08,2.6e-09,5.6e-05,2.8e-05,"Otto Matic",2006-11-10,2023-07-08,.53733,,,,
"  273P/Pons-Gambart",32.83,0.9753,136.40,320.43,20.19,0.810,64.85,188,68223,3,1140,,,,2012-12-19.6,HTC,,4.4e-10,7.7e-10,,,1000765,273P,Pons-Gambart,P,Y,,0,,11.3,14.9,8.75,5.,0.03,,,,,,,,,,,,,"JPL 11",2456369.5,56369,2013-03-18.0,J2000,0.46,0.005239,2456281.17,6.87e+04,0.172,66.9,1.39,-0.645,3.0e-06,4.0e-03,3.3e-06,2.3e-05,7.2e-05,2.2e-04,8.6e-05,8.0e-03,9.7e-07,9.1e-05,1.3e+01,"Otto Matic",1827-06-21,2014-04-04,.54482,1.2e-09,1.5e-10,,
"  289P/Blanpain",3.045,0.6851,5.90,68.92,9.85,0.959,5.13,5.31,2446,1,342,0,7,,2019-12-20.9,JFc,,,,,,1000750,289P,Blanpain,P,Y,,0,,22.1,,4.5,,,,,,,,,,,,,,,"JPL K192/10",2458703.5,58703,2019-08-08.0,J2000,334.96,0.1855,2458838.49,1.94e+03,0.0165,6.4,0.217,2.82,7.8e-08,6.9e-07,6.5e-08,7.3e-06,7.9e-05,8.0e-05,9.4e-06,1.2e-06,6.3e-08,1.3e-05,6.6e-04,"Davide Farnocchia",2013-07-04,2020-03-15,.4863,,,,
"  294P/LINEAR",3.194,0.5986,18.54,314.34,234.17,1.282,5.11,5.71,4598,0,233,,,,2008-06-16.6,JFc,,,,,,1002493,294P,LINEAR,P,Y,,0,,17.9,,4.5,,,,,,,,,,,,,,,"JPL 32",2455453.5,55453,2010-09-14.0,J2000,141.45,0.1726,2454634.11,2.09e+03,0.379,147,0.97,2.82,2.2e-07,1.7e-07,6.5e-07,2.6e-05,4.7e-05,5.2e-05,2.2e-05,2.6e-07,1.3e-08,1.8e-04,1.6e-04,"Otto Matic",2008-01-13,2020-08-15,.51672,,,,
"  300P/Catalina",2.699,0.6917,5.68,95.69,222.87,0.832,4.57,4.43,3356,0,145,,,,2018-11-02.0,JFc,,,-7.0e-11,,,1000567,300P,Catalina,P,Y,,0,,16.8,19.6,20.5,5.,0.03,,,,,,,,,,,,,"JPL K233/6",2458084.5,58084,2017-11-27.0,J2000,284.41,0.2223,2458424.54,1.62e+03,0.0222,8.66,0.813,2.96,2.7e-07,7.4e-08,7.4e-07,4.1e-05,3.6e-04,3.8e-04,2.3e-05,1.3e-07,9.2e-09,1.1e-04,6.7e-05,"Davide Farnocchia",2014-02-01,2023-04-11,.79961,,7.4e-13,,
"  306P/LINEAR",3.104,0.5983,8.36,341.50,0.77,1.247,4.96,5.47,4156,0,343,,,,2003-08-13.9,JFc,,,,,,1000448,306P,LINEAR,P,Y,,0,,19.4,,4.5,,,,,,,,,,,,,,,"JPL 32",2453403.5,53403,2005-02-02.0,J2000,96.98,0.1802,2452865.46,2e+03,0.239,92.9,0.46,2.9,3.0e-07,3.2e-08,9.2e-07,1.7e-05,7.4e-05,7.5e-05,1.1e-05,5.0e-08,2.7e-09,6.3e-05,3.0e-05,"Otto Matic",2003-07-30,2014-12-15,.7118,,,,
"  317P/WISE",2.957,0.5802,11.96,275.69,334.74,1.241,4.67,5.08,5301,1,93,,,,2015-08-08.4,JFc,,,,,,1003094,317P,WISE,P,Y,,0,,19.5,21.5,4.5,5.,0.03,,,,,,,,,,,,,"JPL 17",2456433.5,56433,2013-05-21.0,J2000,203.07,0.1939,2457242.99,1.86e+03,0.241,93.7,0.577,2.96,4.2e-07,1.7e-07,1.3e-06,3.1e-05,1.6e-04,2.0e-04,6.6e-05,2.6e-07,1.6e-08,3.7e-04,1.6e-04,"Otto Matic",2005-07-28,2020-02-01,.5165,,,,
"  319P/Catalina-McNaught",3.573,0.6650,15.07,111.37,203.68,1.197,5.95,6.75,2803,0,369,,,,2015-07-01.9,JFc,,,,,,1002993,319P,Catalina-McNaught,P,Y,,0,,17.0,,9.,,,,,,,,,,,,,,,"JPL 34",2456545.5,56545,2013-09-10.0,J2000,263.69,0.1459,2457205.43,2.47e+03,0.2,77.9,0.0246,2.65,1.0e-07,6.4e-08,3.6e-07,1.4e-05,6.8e-05,7.7e-05,8.5e-06,1.1e-07,3.9e-09,6.0e-05,6.7e-05,"Otto Matic",2008-05-02,2016-01-04,.565,,,,
"  320P/McNaught",3.103,0.6824,4.89,295.96,0.67,0.985,5.22,5.47,4055,0,121,,,,2010-02-21.0,JFc,,,,,,1000508,320P,McNaught,P,Y,,0,,19.6,,14.25,,,,,,,,,,,,,,,"JPL 30",2455658.5,55658,2011-04-07.0,J2000,73.92,0.1803,2455248.58,2e+03,0.0279,10.8,0.0322,2.8,7.8e-08,2.7e-08,2.4e-07,1.6e-05,2.3e-04,2.3e-04,5.0e-06,4.5e-08,2.3e-09,3.1e-05,2.6e-05,"Otto Matic",2004-09-02,2015-10-10,.71595,,,,
"  321P/SOHO",2.427,0.9807,19.74,165.27,172.41,0.047,4.81,3.78,5539,3,91,,,,2004-12-07.8,JFc,,,-1.8e-12,,,1001745,321P,SOHO,P,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 4",2453458.5,53458,2005-03-29.0,J2000,28.99,0.2607,2453347.32,1.38e+03,0.086,33.5,0.678,2.4,4.3e-05,3.2e-06,1.0e-04,1.2e-01,2.4e-01,2.9e-01,7.0e-04,6.2e-06,5.1e-07,2.9e-03,2.7e-03,"Otto Matic",1997-05-01,2012-06-30,.10611,,9.1e-13,,
"  322P/SOHO",2.516,0.9787,12.59,359.52,49.05,0.054,4.98,3.99,5817,2,318,,,,2015-09-04.0,JFc,,,,,,1001474,322P,SOHO,P,Y,,0,,19.0,,10.,,,,,,,,,,,,,,,"JPL 10",2457179.5,57179,2015-06-06.0,J2000,337.76,0.2469,2457269.56,1.46e+03,0.0922,35.9,1.04,2.35,4.4e-06,5.0e-07,1.1e-05,1.4e-03,1.8e-02,1.7e-02,2.1e-04,9.8e-07,7.3e-08,8.9e-04,4.3e-04,"Davide Farnocchia",1999-09-04,2015-08-08,.44155,,,,
"  323P/SOHO",2.582,0.9848,5.37,324.23,353.17,0.039,5.12,4.15,1561,2,123,,,,2021-01-17.6,JFc,,,,,,1002073,323P,SOHO,P,Y,,0,,23.6,,4.5,,,,,,,,,,,,,,,"JPL K212/6",2459257.5,59257,2021-02-12.0,J2000,6.03,0.2376,2459232.13,1.52e+03,0.0222,8.63,0.221,2.26,4.8e-08,2.7e-06,1.2e-07,5.5e-05,3.3e-04,3.3e-04,9.9e-06,5.4e-06,3.8e-07,5.2e-06,2.4e-03,"Davide Farnocchia",2016-11-23,2021-03-03,.283,,,,
"  325P/Yang-Gao",3.406,0.6241,16.32,258.87,347.00,1.280,5.53,6.29,26052,0,1374,,,,2009-05-22.3,JFc,,,-2.6e-10,,,1003026,325P,Yang-Gao,P,Y,,0,,15.5,,14.5,,,,,,,,,,,,,,,"JPL 51",2455960.5,55960,2012-02-03.0,J2000,154.68,0.1568,2454973.89,2.3e+03,0.273,106,0.0857,2.74,5.6e-08,1.4e-07,2.0e-07,1.0e-05,1.8e-05,2.0e-05,9.9e-06,2.2e-07,9.5e-09,2.3e-05,1.4e-04,"Otto Matic",1951-05-28,2022-09-24,.67055,,1.5e-13,,
"  333P/LINEAR",4.224,0.7359,131.88,115.56,26.14,1.115,7.33,8.68,3553,0,664,,,,2016-04-03.9,JFC,,,,,,1003435,333P,LINEAR,P,Y,,0,,15.0,,7.5,,,,,,21.04,,,,,,,,,"JPL 36",2457030.5,57030,2015-01-08.0,J2000,308.68,0.1135,2457482.44,3.17e+03,0.176,68.6,0.358,0.418,4.9e-08,9.3e-08,2.2e-07,2.4e-05,2.4e-05,2.6e-05,4.3e-06,1.6e-07,3.8e-09,3.1e-05,1.0e-04,"Otto Matic",2007-11-04,2017-07-27,.54084,,,,
"  342P/SOHO",3.043,0.9826,13.27,43.40,58.70,0.053,6.03,5.31,5816,4,283,,,,2016-07-01.6,JFC,,,-1.1e-10,,,1001542,342P,SOHO,P,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 5",2457600.5,57600,2016-07-31.0,J2000,5.45,0.1857,2457571.14,1.94e+03,0.132,51.2,0.98,1.99,5.2e-05,3.4e-05,1.6e-04,6.1e-02,4.3e-01,4.2e-01,5.0e-04,6.7e-05,3.1e-06,3.1e-03,3.2e-02,"Davide Farnocchia",2000-07-30,2016-07-02,.18506,,4.0e-12,,
"  364P/PANSTARRS",2.878,0.7226,12.15,46.22,211.96,0.798,4.96,4.88,3911,0,1452,,,,2018-06-24.3,JFc,,,-5.9e-12,,,1003263,364P,PANSTARRS,P,Y,,0,,17.4,,7.75,,,,,,,,,,,,,,,"JPL 82",2458863.5,58863,2020-01-15.0,J2000,114.96,0.2018,2458293.87,1.78e+03,0.0863,33.6,0.529,2.81,1.8e-08,1.3e-08,5.5e-08,7.0e-06,3.0e-05,3.0e-05,1.9e-06,2.2e-08,1.3e-09,1.3e-05,1.2e-05,"Otto Matic",2013-02-01,2023-10-18,.61539,,1.8e-13,,
"  384P/Kowalski",2.908,0.6154,7.29,354.46,37.28,1.118,4.70,4.96,1920,0,652,,,,2019-10-11.2,JFc,,,,,,1003346,384P,Kowalski,P,Y,,0,,20.0,,4.5,,,,,,,,,,,,,,,"JPL 25",2458322.5,58322,2018-07-23.0,J2000,271.49,0.1988,2458767.74,1.81e+03,0.142,55.4,0.894,2.96,4.9e-08,3.9e-08,1.5e-07,5.5e-06,4.9e-05,5.4e-05,3.9e-06,6.3e-08,4.0e-09,2.6e-05,3.6e-05,"Otto Matic",2014-10-18,2020-01-20,.58132,,,,
"  387P/Boattini",4.799,0.7360,8.90,259.36,162.78,1.267,8.33,10.5,4055,0,347,,,,2019-09-05.3,JFc,,,,,,1003006,387P,Boattini,P,Y,,0,,14.2,17.8,20.,5.,0.03,,,,,,,,,,,,,"JPL 22",2457120.5,57120,2015-04-08.0,J2000,208.93,0.09375,2458731.87,3.84e+03,0.286,111,0.286,2.37,1.8e-07,1.2e-07,8.5e-07,2.8e-05,1.5e-04,1.6e-04,1.0e-05,2.1e-07,3.6e-09,1.0e-04,1.5e-04,"Otto Matic",2008-12-22,2020-01-29,.73842,,,,
"  405P/Lemmon",3.607,0.6891,9.37,3.31,112.29,1.121,6.09,6.85,2775,0,1017,,,,2020-12-24.5,JFc,,,,,,1003292,405P,Lemmon,P,Y,,0,,18.8,,4.5,,,,,,,,,,,,,,,"JPL 56",2458091.5,58091,2017-12-04.0,J2000,199.34,0.1439,2459208.09,2.5e+03,0.204,79.6,0.471,2.63,3.3e-08,2.4e-08,1.1e-07,6.9e-06,4.1e-05,4.4e-05,3.0e-06,4.0e-08,1.4e-09,1.9e-05,2.5e-05,"Otto Matic",2013-10-04,2021-05-10,.68878,,,,
"  414P/STEREO",2.795,0.8117,23.38,257.79,210.74,0.526,5.06,4.67,1779,2,238,,,,2021-01-25.3,JFc,,,,,,1003467,414P,STEREO,P,Y,,0,,16.0,,22.,,,,,,,,,,,,,,,"JPL 10",2459228.5,59228,2021-01-14.0,J2000,357.60,0.2109,2459239.89,1.71e+03,0.32,125,0.838,2.65,4.1e-07,2.1e-06,1.0e-06,1.5e-04,3.0e-04,2.3e-04,9.5e-06,3.9e-06,2.4e-07,4.4e-05,2.0e-03,"Javier Roa",2016-05-11,2021-03-25,.38345,,,,
"  460P/PANSTARRS",3.022,0.6663,18.92,180.53,351.90,1.009,5.04,5.25,1862,1,160,5,5,,2016-03-15.5,JFc,,,,,,1003451,460P,PANSTARRS,P,Y,,0,,20.9,,4.5,,,,,,36.6,,,,,,,,,"JPL 60",2457495.5,57495,2016-04-17.0,J2000,6.09,0.1876,2457463.02,1.92e+03,0.0163,6.33,0.0938,2.8,3.3e-08,3.0e-07,1.4e-08,1.6e-06,2.1e-06,4.5e-06,1.2e-06,5.0e-07,2.8e-08,3.2e-06,2.9e-04,"Otto Matic",2015-12-01,2021-01-05,.31307,,,,
"  463P/NEOWISE",2.977,0.8250,29.50,283.84,215.81,0.521,5.43,5.14,3962,0,103,,,,2023-03-30.0,JFc,,,,,,1003925,463P,NEOWISE,P,Y,,0,,18.3,,8.5,,,,,,,,,,,,,,,"JPL 21",2459357.5,59357,2021-05-23.0,J2000,230.24,0.1919,2460033.58,1.88e+03,0.34,133,0.997,2.49,1.4e-07,4.2e-08,4.1e-07,5.9e-05,8.2e-05,8.7e-05,4.0e-06,7.6e-08,4.0e-09,2.1e-05,4.0e-05,"Otto Matic",2012-09-06,2023-07-13,.54951,,,,
"     D/1766 G1 (Helfenzrieder)",2.665,0.8476,7.87,76.26,178.70,0.406,4.92,4.35,24,,22,,,,1766-04-27.9,JFc,F,,,,,1000703,"1766 G1",Helfenzrieder,D,Y,,0,,,,,,,,,,,,,,,,,,,SAO_2008,2366200.5,-33800,1766-05-03.0,J2000,1.15,0.2266,2366195.41,1.59e+03,,,,2.71,,,,,,,,,,,,Yeomans,1766-04-09,1766-05-03,,,,,
"     D/1770 L1 (Lexell)",3.153,0.7861,1.55,134.47,225.02,0.674,5.63,5.6,110,,130,,,,1770-08-14.0,JFc,F,,,,,1000705,"1770 L1",Lexell,D,Y,,0,,,,,,,,,,,,,,,,,,,SAO_2008,2367764.5,-32236,1770-08-14.0,J2000,-0.01,0.176,2367764.54,2.05e+03,,,,2.61,,,,,,,,,,,,Leverrier,1770-06-15,1770-10-03,,,,,
"     D/1884 O1 (Barnard)",3.073,0.5836,5.47,6.75,301.05,1.280,4.87,5.39,89,7,19,,,,1884-08-16.9,JFc,,,,,,1000889,"1884 O1",Barnard,D,Y,,0,,,,,,,,,,,,,,,,,,,"JPL 2",2409411.5,9411,1884-08-23.0,J2000,1.10,0.183,2409405.47,1.97e+03,0.28,109,0.559,2.94,3.1e-04,2.5e-03,8.3e-05,1.2e-03,6.1e-03,5.0e-03,1.9e-03,3.9e-03,2.2e-04,3.1e-03,2.4e+00,"Otto Matic",1884-07-26,1884-10-23,1.0303,,,,
